"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 10 07:05:37 UTC 2020","Tue Nov 10 07:05:37 UTC 2020","593","Transaction-Log-Ctrl","","","","","CreateTransactionID3_SameTransactionID2",""
"passed","Tue Nov 10 07:05:39 UTC 2020","Tue Nov 10 07:05:40 UTC 2020","591","Transaction-Rec-Ctrl","","","","","CreateTransactionID4_forTest",""
"passed","Tue Nov 10 07:05:37 UTC 2020","Tue Nov 10 07:05:38 UTC 2020","592","Transaction-Log-Ctrl","","","","","ChkComplete1_forID2_forSuccess",""
"passed","Tue Nov 10 07:05:39 UTC 2020","Tue Nov 10 07:05:39 UTC 2020","584","Transaction-Log-Ctrl","","","","","ChkCompleteForBatch",""
"passed","Tue Nov 10 07:05:43 UTC 2020","Tue Nov 10 07:05:46 UTC 2020","2490","Transaction-Rec-Ctrl","","","","","get whole transactionLog process list",""
"failed","Tue Nov 10 07:05:46 UTC 2020","Tue Nov 10 07:05:46 UTC 2020","576","Transaction-Rec-Ctrl","","","","","get transactionLog by multiple conditions",""
"passed","Tue Nov 10 07:05:38 UTC 2020","Tue Nov 10 07:05:39 UTC 2020","616","Transaction-Log-Ctrl","","","","","ChkComplete2_forID3_forFail",""
"passed","Tue Nov 10 07:05:41 UTC 2020","Tue Nov 10 07:05:43 UTC 2020","2038","Transaction-Rec-Ctrl","","","","","get one of transactionLog process",""
"passed","Tue Nov 10 07:05:35 UTC 2020","Tue Nov 10 07:05:36 UTC 2020","590","Transaction-Log-Ctrl","","","","","CreateTransactionID1",""
"passed","Tue Nov 10 07:05:46 UTC 2020","Tue Nov 10 07:05:47 UTC 2020","932","Transaction-Rec-Ctrl","","","","","get transactionLog by multiple conditions _ForCurPageIs0",""
"passed","Tue Nov 10 07:05:36 UTC 2020","Tue Nov 10 07:05:37 UTC 2020","892","Transaction-Log-Ctrl","","","","","CreateTransactionID2",""
"passed","Tue Nov 10 07:05:40 UTC 2020","Tue Nov 10 07:05:41 UTC 2020","1515","Transaction-Rec-Ctrl","","","","","ChkComplete_forID4_forFail",""
"failed","Tue Nov 10 07:05:31 UTC 2020","Tue Nov 10 07:05:35 UTC 2020","3819","Verify Ver","","","","","Chk Ver",""
